YEARMAKE,MODEL,TRIM,STOCK,VIN,@QR,QRYEARMODEL,QRSTOCK,@QR2,MISC
2024 Honda,Prologue,AWD EX,2024 Prologue - 240969,NEW - 3GPKHVRJ3RS542045,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_1.PNG,2024 Prologue - 240969,NEW - 3GPKHVRJ3RS542045,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_1.PNG,2024 Prologue - 240969 - NEW - 3GPKHVRJ3RS542045
2024 Honda,Prologue,AWD EX,2024 Prologue - 240971,NEW - 3GPKHVRJ3RS544863,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_2.PNG,2024 Prologue - 240971,NEW - 3GPKHVRJ3RS544863,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_2.PNG,2024 Prologue - 240971 - NEW - 3GPKHVRJ3RS544863
2024 Honda,Prologue,AWD EX,2024 Prologue - 240950,NEW - 3GPKHVRJ4RS526081,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_3.PNG,2024 Prologue - 240950,NEW - 3GPKHVRJ4RS526081,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_3.PNG,2024 Prologue - 240950 - NEW - 3GPKHVRJ4RS526081
2024 Honda,Prologue,AWD EX,2024 Prologue - 240893,NEW - 3GPKHVRJ6RS517981,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_4.PNG,2024 Prologue - 240893,NEW - 3GPKHVRJ6RS517981,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_4.PNG,2024 Prologue - 240893 - NEW - 3GPKHVRJ6RS517981
2024 Honda,Prologue,AWD EX,2024 Prologue - 240970,NEW - 3GPKHVRJ6RS543030,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_5.PNG,2024 Prologue - 240970,NEW - 3GPKHVRJ6RS543030,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_5.PNG,2024 Prologue - 240970 - NEW - 3GPKHVRJ6RS543030
2026 Honda,Passport,TrailSport,2026 Passport - 260032,NEW - 5FNYF9H58TB018810,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_6.PNG,2026 Passport - 260032,NEW - 5FNYF9H58TB018810,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_6.PNG,2026 Passport - 260032 - NEW - 5FNYF9H58TB018810
2025 Honda,Ridgeline,AWD BLACK EDITION,2025 Ridgeline - 251245,NEW - 5FPYK3F85SB036712,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_7.PNG,2025 Ridgeline - 251245,NEW - 5FPYK3F85SB036712,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_7.PNG,2025 Ridgeline - 251245 - NEW - 5FPYK3F85SB036712
2025 Honda,Ridgeline,AWD BLACK EDITION,2025 Ridgeline - 251296,NEW - 5FPYK3F82SB037994,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_8.PNG,2025 Ridgeline - 251296,NEW - 5FPYK3F82SB037994,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_8.PNG,2025 Ridgeline - 251296 - NEW - 5FPYK3F82SB037994
2025 Honda,Pilot,AWD EX-L,2025 Pilot - 251270,NEW - 5FNYG1H45SB135894,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_9.PNG,2025 Pilot - 251270,NEW - 5FNYG1H45SB135894,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_9.PNG,2025 Pilot - 251270 - NEW - 5FNYG1H45SB135894
2026 Honda,Passport,RTL,2026 Passport - 260018,NEW - 5FNYF9H33TB015408,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_10.PNG,2026 Passport - 260018,NEW - 5FNYF9H33TB015408,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_10.PNG,2026 Passport - 260018 - NEW - 5FNYF9H33TB015408
2026 Honda,Passport,RTL,2026 Passport - 260021,NEW - 5FNYF9H36TB015368,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_11.PNG,2026 Passport - 260021,NEW - 5FNYF9H36TB015368,orders\Frank_Leta_Honda\20250811_130732\qr_codes\Frank_Leta_Honda_QR_Code_11.PNG,2026 Passport - 260021 - NEW - 5FNYF9H36TB015368
