Vin,Stock,Type,Year,Make,Model,Trim,Ext Color,Status,Price,Body Style,Fuel Type,MSRP,Date In Stock,Street Address,Locality,Postal Code,Region,Country,Location,Vehicle URL,QR_Code_Path
2HKRS3H78SH323982,PC6106,Certified Pre-Owned,2025,Honda,CR-V,EX-L,White,InStock,35999.00,Sport Utility,,36749.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/cpo/2hkrs3h78sh323982/2025-honda-cr-v-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_1.png
7FARS6H84SE075565,PC6124,Certified Pre-Owned,2025,Honda,CR-V Hybrid,Sport-L,Platinum White Pearl,InStock,37591.00,Sport Utility,,38341.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/cpo/7fars6h84se075565/2025-honda-cr-v-hybrid-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_2.png
3CZRZ2H52SM771434,PC6092,Certified Pre-Owned,2025,Honda,HR-V,Sport,Red,InStock,28750.00,Sport Utility,,29500.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/cpo/3czrz2h52sm771434/2025-honda-hr-v-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_3.png
2HGFE2F57RH589570,PC6119,Used,2024,Honda,Civic Sedan,Sport,Gray,InStock,25479.00,4dr Car,,26229.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/used/2hgfe2f57rh589570/2024-honda-civic-sedan-4dr-car,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_4.png
7FARS3H79RE002336,T260084A,Used,2024,Honda,CR-V,EX-L,Gray,InStock,33971.00,Sport Utility,,34721.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/used/7fars3h79re002336/2024-honda-cr-v-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_5.png
7FARS4H40RE007260,PC6120,Certified Pre-Owned,2024,Honda,CR-V,EX,Black,InStock,33999.00,Sport Utility,,34749.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/cpo/7fars4h40re007260/2024-honda-cr-v-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_6.png
7FARS6H84RE062597,PC6101,Certified Pre-Owned,2024,Honda,CR-V Hybrid,Sport-L,Silver,InStock,37000.00,Sport Utility,,37750.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/cpo/7fars6h84re062597/2024-honda-cr-v-hybrid-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_7.png
5FNYF8H6XRB001079,C251286A,Used,2024,Honda,Passport,TrailSport,Lunar Silver Metallic,InStock,38591.00,Sport Utility,,39341.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/used/5fnyf8h6xrb001079/2024-honda-passport-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_8.png
1GKKNKL40PZ181082,T251394A,Used,2023,GMC,Acadia,SLE,Sterling Metallic,InStock,29899.00,Sport Utility,,30649.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/used/1gkknkl40pz181082/2023-gmc-acadia-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_9.png
2HGFE2F57PH541435,PC6050,Certified Pre-Owned,2023,Honda,Civic Sedan,Sport,Silver,InStock,23700.00,4dr Car,,24450.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/cpo/2hgfe2f57ph541435/2023-honda-civic-sedan-4dr-car,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_10.png
2HKRS4H73PH436459,PC6121,Used,2023,Honda,CR-V,EX-L,Black,InStock,34362.00,Sport Utility,,35112.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/used/2hkrs4h73ph436459/2023-honda-cr-v-sport-utility,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_11.png
4T1G11AK5PU077446,PC6074,Used,2023,Toyota,Camry,SE,Red,InStock,18800.00,4dr Car,,19550.00,,885 S Lindbergh Blvd,St. Louis,63131,MO,US,Honda of Frontenac,https://www.hondafrontenac.com/viewdetails/used/4t1g11ak5pu077446/2023-toyota-camry-4dr-car,orders\Honda_of_Frontenac\20250821_135120\qr_codes\Honda_of_Frontenac_QR_Code_12.png
