ORDER,VINS
BASELINE,WBAFU7C59CDU61805
,WBA4C9C59FG135091
,WBA7J2C54JG938569
,5UXTY5C01M9E77392
,5UXCR6C59KLL13674
,5UXTY5C03M9G01176
,WBAJB9C53JB049383
,3MW5R7J09N8C32853
,3MW5R7J04N8C61516
,3MW5R7J02N8C65404
,WBX73EF02P5X33094
,WBA73BJ02NWX52087
,WBA13BJ04NWX47110
,5UX53DP06N9M87362
,5UX53DP01N9N05475
,5UXCR6C05M9G02655
,WBX73EF08R5002575
,WBA73AK07R7R26387
,WBA13BJ03NCK55699
,WBA73AK0XR7R38338
,WBA73AK01R7R26305
,5UXCW2C05L9B38637
,WBA13BJ01NCJ74409
,WBA73AK08R7R26429
,WBA73AK07R7R26423
,WBA13BJ03NWX58423
,5UX53DP00N9M80780
,WBA73AK01R7R60695
,3MW33CM0XR8E72495
,WBX73EF09R5Z67428
,WBA13BJ0XNWX52179
,5UX53DP09N9N39910
,WBA73AK06R7R21939
,WBA73AK03R7R78289
,5UX53DP0XN9N42654
,5UX53DP09P9P62600
,WBA73AV02RFT56400
,WBX73EF07R5011719
,5UX53DP03R9U65230
,WBA13AR07MCF64253
,3MW33CM07R8E62555
,3MW33CM02R8E74922
,WBA23GG08S7S83916
,3MW33CM06R8E88788
,WBX73EF01S5207659
,WBY73AW0XRFS72938
,WBA73BJ06NWX58328
,WBA73BJ08NCJ42468
,WBA73BJ05NWX54836
,WBA73BJ04NCK20101
,WBA53FJ03RCS32180
,3MW89CW06S8F38175
,WBA53FJ0XRCR91229
,5UXCR6C08P9P63129
,WBA73BJ07PCL31194
,WBY33AW07RFS11979
,WBA53FJ09RCS49131
,WBA53FJ08RCS68723
,WBY33FK00RCR39308
,WBY33FK07RCR45171
,WBAGV4C03NCJ44132
,WBA53FJ06RCS60197
,WBA63FJ04RCS00715
,5YMTS0C07M9F18668
,WBA63FJ05RCS04028
,5UX23EM05P9N47826
,5UX23EU01R9V70670
,5UX23EU0XR9V32175
,WBA83DA06SCU06685
,5UX23EU04S9W29863
,WBA13BK05PCN45847
,5UX23EM02P9S05721
,5UX23EM03P9P20839
,5UX23EM08R9V62016
,5UX33EM08R9S43560
,5UX33EU03R9T53089
,WAUFGAFB2AN059024
,JN8AY2NE6H9705295
,JTHCE1BL7D5016621
