ORDER,VINS
BASELINE,WU1ARBF11PD024707
,1FT7W2BT5KEC70296
,1GKS1BKDXPR260398
,1GKKNPLS7KZ266974
,ZASPAKBN6R7D76195
,1GNSKNKD7MR363047
,KL4MMFSL2NB086806
,1C4HJXDG0KW615891
,KL4MMDSL1NB036984
,SALWS2RU2LA879014
,1GYKNDRS6MZ131628
,WA1ABAFY9R2015061
,1C4RJFAG5JC360271
,WAUGUDGY3RA045847
,1C4SJVBT3NS216401
,1C4SJVFP7PS506673
,1GTW7AFP1N1241972
,5GAEVAKW9KJ228012
,5GAEVBKW0MJ157338
,JTNB4MBE1M3117406
,WAUABCF53RA023604
,JN8AZ2BE7P9303883
,1GKS2JKL3PR116318
,KL4MMCSL4PB155674
,5UX33EM00P9N87476
,SALWS2RU0LA712943
,ZACNJDD15NPN67672
,5XYPKDA50JG420959
,1C6SRFLT1NN184163
,1FTFX1EF3FFA75421
,KM8R44HE3LU082091
,JM3KKDHA3R1138492
,1GT49RE7XLF235427
,3VWC57BU5MM076451
,WBAJS3C04LWW77286
,1C4PJMBS1HW510786
,1GKS2JKL4MR311999
,5GAKRBKD5GJ197957
,KM8R4DHE5LU079970
,KMHDH4AE0GU589836
,WP1BK2AY7PDA39382
,1GKKNMLS0JZ152649
,3GNAXXEV2MS150291
,3FTTW8F96NRA63143
,WA1CVAF12KD032359
,1GTW7BFG0H1127603
,1GC4YREY6NF106258
,7MMVABDY4SN319468
,1C4RDJDG7EC978977
,JM3KE4CY0E0366977
,3C6RR7LT2HG718627
,WA1BBAFY3R2015951
,2C4RC1EGXJR322498
,58ADZ1B17NU113483
,WA1GAAFY9R2050907
,7MMVABAM2RN199004
,1C4HJWEGXJL873411
,1C4HJXDG4PW598441
,7MMVABBM0RN196200
,1FMDE5FPXMLA20227
,1C4RJKAG4M8156884
,WA1LAAF78KD011919
,1J4FA49S5YP737887
,WAUL2BF21PN041470
,3GKALMEV4NL204242
,JN8AS5MV8BW254268
,JNKCV64F89M650473
,KL4MMESL4NB086283
,1FMDU74K84UB04482
,WAUU2AF21LN007862
,WVGAV7AX7AW513282
,1FTER4FH2NLD10253
,1FTER4FH6MLD52651
,1YVHZ8BH3C5M31766
,1C4RJFAG0MC829593
,1GT49LE73NF249623
,5J8TC2H58ML005744
,JM3KFBAY3M0424020
,JTHHZ5BC3K5020597
,KM8SMDHF1HU225461
,WP0AB29965S741406
,WVGAV7AX7AW51328
,ZARFANBN7R7681815
,1GTU9EET0MZ174059
,3GKALPEV7JL213075
,5GAEVBKW8MJ193987
,JM3KFBBM8N0560866
,JM3KFBCM9M0461356
,JM3KFBDL2R0533267
,JM3KFBEY9L0842042
,JM3KFBXY7P0110267
,WVWPP7AU3GW910026
,WAU2GAFC5DN129501
,JM3KFBAY6M0370759
,1J4BA3H13BL612340
,1YVHZ8CB7A5M34564
,5FNYF6H03GB025916
,1FA6P8CF6M5147846
,4S4BTGND1M3200678
,JM1BN1L3XH1141086
,JN1EV7AR8KM552535
,KMUHCESC9MU063575
,WA1GAAFY4N2057242
,WAUABAF40MN010967
,WAUC4AFRXGA004023
,WAUDNAF4XKA031625
,WA1LJBF75ND001455
,JM3KE4DE0D0129991
,5NPEB4AC4DH797961
,5TFDM5F17BX021456
,1GKS2CKJ8GR256519
,3N1AB7AP6FL679662
,4F2CZ06198KM11500
,4T3ZK3BB3BU046146
,5J8TB3H30FL013184
,5N1AT3BAXMC785517
,WAUDACF55RA060217
,WMWSU3C53CT541324
,1B3HB28B27D186708
,3GTU9DEDXNG121504
,4T1BE46K39U328587
,5TDDZRFH5KS724002
,JM3KFBDM4M1441329
,SALSK2D49AA216039
,JNKAJ09F68M358599
,WA1GAAFY9N2056023
,1FMCU9G60NUB91432
,3MVDMBCM1RM637035
,5N1AT3BB8MC736132
,7MMVABAM1RN197163
,3GTUUGED4NG688789
,1GTG6FEN5N1166570
,1GNKVHKD1GJ346966
,5XYPGDA55LG686112
,1C4RJKBG7M8114322
,5FNRL6H72KB075080
,5N1BT3BA2PC746798
,3GTU2UEC4FG198897
,JF2SH6CC1AH733768
,WBAYF8C50ED142322
,1B7GL22X4XS231686
,KMTFC4SD0RU037744
,1G6DP577460129870
,WA1ABAFY8R2114678
,
42402,1C4BJWDG0CL252429
,1GKKNXLS0KZ123431
,JM3TCBCY9N0612634
,JM3TCBDY5M0508414
,1FTEW1E40LKD89656
,JM3KFACM3J0419397
,1GC4YNE71NF292923
,4T1BF1FK3GU261160
,JM3TCBCY7P0648549
,JM3TCBCY5N0603428
,JM3KFACL7H0196525
,JM3TCBCY8P0644414
,JM3KFBCM7M0493416
,JM3KFBBM1N0549238
,JM3KE4CY1E0422862
,JM3KFBDM1N0626803
,WAUMFAFR5FA043969
,1FTFW1E19KFB62807
,3FADP4FJ1BM100120
,2GKFLSE33E6356977
,WDC0G6EB5HF182127
,1G11E5SXXFF224422
,5UXUJ3C53KLG54159
,1G1PG5SB7E7153357
,WA1AXBF77ND013354
,WAUC4CF56NA011850
,5FNRL6H92PB047188
,5NMP54GL5RH021804
,1GYKNCRS9KZ134644
,1GYEE437690103129
,JM3TCBDY8L0412484
,1GT4URE77SF147948
,5J6RW2H85HL073915
,4T1B31HK7KU511756
,3GKALSEX8KL139106
,3LN6L2LUXER829673
,3GNKBKRSXLS599691
,
42449,JM3KFBCMXM0484967
,JM3ER2W51A0331253
,KL4CJBSB8FB030472
,3MZBM1U79FM201571
,KNDNC5H31P6250217
,1G6KD5EY6AU125008
,3KPC24A68ME150291
,WA1GAAFY8R2089181
,JN8AZ2NE7D9040771
,WAUDAAF47RN011458
,WAUDACF50RA071528
,
42503,1C6HJTAG4LL153035
,WAUGUDGY2RA122871
,WA1DECF31R1089293
,1GYS4CKJ0KR398162
,WA1AJAF76LD008963
,1GC4K0EYXHF249957
,3VW7T7AT0DM828671
,WA1BNAFY3J2203591
,5N1AR2MM3GC601314
,WA1LXAF79LD002310
,1G1BC5SM8H7152195
,1G1BC5SM0H7255255
,1GCVKNEH0HZ237235
,JM3KE4DY6G0774336
,LRBFZPR47PD183901
,WA1DECF34R1040590
,WA1ABAFYXR2073647
,1G4GB5ER9CF249651
,WA1GAAFYXR2088968
,1HGCV1F33NA005475
,1GKKNXLS0KZ118021
,JTMRJREV7HD117902
,WAUABCF58RA064486
,1C4PJLDN2KD171542
,2GNALDEK7D1163954
,WA1C2AFP7GA029513
,KMHL14JCXPA344347
,WA1BCBFZ2PP013877
,1FMJU2A58DEF51313
,5XYP54HCXNG202688
,JM1BPACL4M1318929
,WA1EAAFY6N2084773
,WAUD3AF26MN059972
,3GKALMEG7PL184430
,KM8R2DHE0MU181362
,1FMCU0J9XJUD43869
,
42536,KL4CJBSM7HB076590
,3GNAXREVXJS635799
,1GKS2GKC3KR161223
,1FTEX1CM6BKE16809
,5N1AL0MM5GC509157
,JM3KFBBM4P0172858
,5XXGU4L31GG097279
,
42593,1GKS2BKD3MR408612
,5XYKTDA78FG648854
,
42635,3D73Y3CL6BG592568
,WA1ABAFY5R2043472
,JM1NDAB77P0555886
,5J8YE1H44NL039182
,WA1AAAFY4M2074255
,JM3TCABYXH0127631
,WVGEF9BP3ED009306
,WA1BNAFY1J2044182
,WA1AAAFY3M2128189
,JM3KE4DY2G0682267
,1GTU9DEDXKZ113107
,JTJAM7BX8P5351955
,JM3KFBAM6N0594712
,WA1LAAF7XKD001568
,JM3TCBBY1N0603525
,JM3TCBBY5N0603026
,WA15AAFY7M2129296
,WA1DECF35N1135069
,WAUB1GFF0J1042364
,5LMJJ3TTXNEL04691
,JM3KFBDM9N1528824
,JM3KFBDM4N1534319
,KM8R7DHE4MU230533
,KNAE35LC5J6038884
,5FNRL38615B054649
,WAUP4AF51NA012510
,1GT120E86FF172844
,JM3KFBDM8N0546933
,1FT7W3BT5HED80649
,2LMDJ8JK1DBL36502
,3VWDX7AJ7BM387043
,WDDSJ4GB9FN193514
,1C4HJXEM6NW130034
,WA1LAAF73HD010668
,1C4GJXAN8MW591406
,JM3KKEHC4R1185571
,3GTU2NEC4JG173710
,WU1ARBF16RD015875
,5XXGR4A77FG366486
,JTEBU5JR3J5511838
,1GYKNCRS6JZ208553
,5J8TC2H74NL011723
,WAU4AGF55RN008621
,19XFA1F52BE033723
,JM1GJ1U5XG1437760
,WA1DECF31N1065781
,
42672,3GKALPEG9PL149888
,1GCES14P84B104954
,1FTEW1EG0FKE58473
,JM1BPBJY6N1516708
,JM3KFBDM9N1588294
,3MVDMBCL2NM402211
,JM3KFBDM6N1532944
,JM3KFBDM3N0544359
,JM3TCBAY1N0624053
,JM3TCBAYXP0645597
,1FTEW1EP4LKE72033
,3GKALPEV5LL325599
,3C4PDCGB0LT194225
,JN8AZ2NE3H9155549
,1N4AL3AP5FC215797
,1YVHZ8CB4C5M33150
,3MZBN1V77HM129722
,3GTP9EED2KG203662
,5N1DL1FS1PC366545
,2HNYD2H2XCH533718
,JN8AZ2AE7P9303660
,
42741,LRBFZRR44ND046715
,5XYP6DHC1NG308539
,3GNAL3E55CS634698
,2FMDK3J96CBA77545
,3FA6P0H7XER303341
,5N1AT2MT6LC754420
,JTNABAAE1PA004704
,WAUFACF59MA052512
,1GKS2CKJ4KR247163
,KL4MMBS23PB083416
,JM3KFBDM4P0111300
,JM3KFBBM8P0172183
,3MVDMBCM0RM631856
,JM3KFBBL0R0488719
,JM3KFBDL3R0491501
,JM3TCBAY3P0645859
,7MMVABAM9RN203176
,5N1AT2MV3HC796827
,3C6RR7LT9GG241273
,
42800,3N1AB7APXDL685834
,1GCEK19R0WR134230
,1FT6W1EV2NWG01286
,1C6SRFFT5PN702113
,2FMDK4KC2CBA91572
,WBS3U9C51FP967223
,YV4612RK4F2733718
,5FNYF4H52DB008598
,4S3BNBA62G3050108
,JN1BV7AR7EM683060
,5XYP5DHC0NG030851
,KM8J3CAL2MU308786
,2FMDK4JC4DBA51531
,3FA6P0PU1FR182515
,
