ORDER,VINS
BASELINE,5XYK53DF9SG235634
,KNDEU2AA6P7406024
,3KPF44AC8RE716728
,KNDEUCAA8R7530322
,3KPF24AD1RE721980
,5XYK5CDF0RG153365
,5XYP2DHC1MG185769
,5XYK5CDF7RG231060
,KNDCC3LC0N5515781
,5XYK6CDF5RG206073
,KNDNE5H37N6083885
,KNDJ23AU7P7879113
,5XYP54HC3LG089826
,KNDJ53AU2R7220544
,KNDPMCAC6N7020152
,KNDEUCAA9P7351025
,5XYP5DHC4NG226629
,KNDPM3ACXN7023796
,3KPF24AD0LE262142
,5ZT2CASBXPU041984
,1FAHP60A52Y106030
,2G1FB1E35C9161718
,5XYKU4A22BG182561
,3TMCZ5AN5KM240591
,5XYPG4A53LG710441
,WDDJK7DA2HF044655
,KNDPNCAC4M7855730
,1FMCU9MN3PUA74197
,2GNAXXEV9N6126733
,3KPF24ADXLE144826
,5XYPHDA54LG666530
,5XYP5DGC0RG455834
,1C4HJXDN2LW199228
,JM3KFBEM8P0120399
,1C4RJKBG8M8142730
,1C4RJFBG6FC821628
,MAJ6S3KL2NC471995
,1FM5K7DH8HGD81054
,2HGFE2F55NH540605
,3GNAXHEV9LS505199
,2C4RC1BG7MR579580
,ZACCJADT4FPC32026
,5NPEJ4J27MH083655
,1C4RJFAG9JC314457
,JM1BM1U72G1293592
,3N1AB8DV6RY312509
,JM1BPALM6P1622292
,3MZBPADL6KM109672
,KNDJ23AU1L7040035
,1GKKNMLS3HZ314655
,2C3CDXBG5NH138175
,3GNAXTEG3PS218435
,3MVDMBCM3PM533112
,3KPF34AD3ME292654
,5XXG64J24NG108390
,5N1DR3CCXPC210267
,5XXG64J23MG010529
,1FMCU9HD8KUA63223
,1N4BL4CVXRN323461
,5UX53DP07N9J31972
,3KPF34AD1LE238994
,5XXGT4L34LG452216
,2C3CDXHG8PH598831
,JM3KE2CY2F0472952
,3KPF44AC7RE729230
,1C6RR7UT2FS646669
,5XYRKDLF6NG076297
,5XYPG4A37KG536287
,1C4RDHAG4NC130231
,1N4BL4DVXRN352649
,1C6HJTAG6LL156339
,3KPF24AD7LE155668
,5XYP5DGC2PG387128
,1GNSKTKL4NR352813
,3GNKBCR46PS109518
,5N1BT3BAXPC894603
,5YFEPMAE8NP309912
,WMW53DK04P2T24291
,4T1HZ1FB8LU040178
,3GNAXKEG2PS153751
,KNAE35LC0J6029770
,5NMJFCAE0NH073388
,KNDJP3A55G7262772
,2C4RC1FG4JR306456
,1C6HJTFG1NL179765
,KNDAEFS57S6055630
,KNDAEFS53S6053647
,5XYAEFS53SG003781
,5XYAEFS57SG003945
,5XYAEFS52SG003075
,3KPFW4DE6SE049669
,5XYK6CDF8SG262420
,5XYK6CDFXSG242993
,KNDRHDJG4S5321600
,5XYRHDJF1SG353452
,5XYK33DF6SG259931
,5XYRHDJF9SG354395
,5XYRK4JF8SG345687
,KNDER2AA1S7733246
,5XYP3DGCXSG609154
,KNAG64J74S5335359
,5XYRKDJF1SG360001
,5XYK6CDF4SG273298
,5XYK43DF7SG254752
,KNDCR3LE3S5240998
,5XYK6CDF8SG281033
,KNDC4DLC8R5221084
,5XYRHDJF9SG354977
,KNDNE5KA3S6054855
,3KPFW4DE4SE081620
