ORDER,VINS
42558,58AEA1C17RU047016
,
43786,4T3ZK3BB6BU046075
,3VV2B7AXXNM097026
,1V2KP2CA8NC548157
,1GT49PEY1RF168383
,5J8YE1H80NL051980
,4JGFB4KB6MA499330
,
43840,58ADZ1B10NU133431
,JTHBK1GG3F2152670
,2T2BBMCA2PC014749
,JA4J4VA89NZ060575
,5UX43EU0XR9U04348
,1GYKPCRS6LZ145046
,
43900,JTJHZKFA5N2037154
,4JGDF7CE3DA161616
,1GKS2BKC8LR282723
,
43913,WAUDAAF48NN004531
5/9/25,19UDE4H68PA019081
,
43945,58ADZ1B17RU170742
5/13/25,2T2HZMDA0NC335738
,JTHBW1GG9E2051698
,JTDAFAAF1P3003672
,5UXTR9C56KLP77376
,5TDESKFC0RS114667
,1G1BC5SM3J7161330
,1FMSK8DH0PGB31850
,
44008,5YJXCBE23HF043949
5/16/25,JM8TCBAY6N0607233
,1CARJFCG7FC215253
,19UDE4H68PA019081
,JTUSARDZ2M2264220
,
44034,58ABZ1B13KU020172
5/20/25,JTJBZMCA8J2035169
,5FNYF6H5XJB068927
,4T1T11AK3RU878331
,1GCUDEEDXRZ205087
,1C4RJHAG3PC609168
,
44103,JTJGJRDZ6M5013687
5/23/25,2T2BBMCA0PC008237
,JTEBU5JR9J5571509
,5FNYF6H5XJB068927
,1G1YY32G4Y5126652
,1G1BC5SM3J7161330
,1FM5K8HCXLGA01693
,
44138,2T2HZMDA0NC335738
5/27/25,JTDAFAAF1P3003672
,5UXTR9C56KLP77376
,1G1BC5SM3J7161330
,
44150,JTJAM7BX8P5342835
5/28/25,5UX23EM01R9U54045
,
44212,2T2GGCEZXPC016866
6/3/25,58AD11D18MU002279
,YV4A22PK8M1679577
,WBS53AZ05MCF96552
,JN8AZ2NE1L9253102
,JM1GL1VM1L1515949
,19XFC2F76HE216701
,
BASELINE 6.3,JTJVBCDX4R5000704
,JTJTBCDX6R5032268
,JTJSARDZ2M2264220
,JTJHZKFA5N2037154
,JTJHZKFA3N2037024
,JTJGJRDZ6M5013687
,JTJDARDZ6M2243363
,JTJAM7BX8P5342835
,JTHGZ1E24P5032949
,5TDAAAB60RS020414
,58AEZ1B13LU077793
,2T2YZMDA2NC320173
,2T2HZMDA0NC358761
,2T2HZMDA0NC335738
,2T2HZMAA7NC249251
,2T2GGCEZXPC016866
,2T2BZMCA7KC202347
,2T2BZMCA5KC192837
,2T2BBMCA7RC034143
,2T2BBMCA0PC008237
,JTJHZKFA3L2026747
,JTJBZMCA8J2035169
,JTHFF2C25A2514500
,JTHCF5C22A5036703
,JTHBW1GG5F2099684
,JTHBJ46G172063767
,58AD11D18MU002279
,2T2HZMDA0LC221591
,2T2BZMCA4KC196233
,2T2BK1BA7CC149106
,2T2BBMCA2RC034079
,2T2BAMCA2PC031084
,2T2AKCEZ2PC012962
,YV4A22PK8M1679577
,WBS53AZ05MCF96552
,WBA3V7C59FP771391
,WAUDAAF48NN004531
,JTDKARFU8H3041328
,JTDAFAAF1P3003672
,JN8AZ2NE1L9253102
,JM3TCBAY6N0607233
,JM1GL1VM1L1515949
,JHMFC1F95JX027988
,5UXTR9C56KLP77376
,5UX53DP08N9L69488
,5UX43EU0XR9U04348
,5TDFZRBH8MS104536
,5N1AT2MV7JC729511
,5J8YE1H33PL035117
,5FNRL6H80KB079122
,4JGFB4KE9NA729731
,4JGFB4KE1MA518375
,4JGFB4KB5LA047268
,3VV2B7AXXNM097026
,2T3P1RFV2LC083077
,2HKRW2H80NH660173
,2GKFLUE3XF6313945
,2G1FB3D35E9276075
,2C4RC1GG9ER172239
,2C3CCABT9NH121943
,1V2TR2CA0MC504814
,1V2KP2CA8NC548157
,1HGCR2F87FA202673
,1GTG6CEN9N1330160
,1GCUDEEDXRZ205087
,1G1YY32G4Y5126652
,1G1P75SZXF7153433
,1FMCU0H62LUB03665
,1C4RJKETXM8195891
,1C4RJHAG3PC609168
,19XFC2F76HE216701
,
44278,2T2SZMDA6LC249949
,2T2BBMCA0RC023095
,2T2BAMCA1RC051068
,JA4J4UA80NZ054819
,4T1G11BK2RU130038
,
44322,JTJHY7AX3K4307445
,JTJAM7BX4N5319761
,JTHU9JBH0K2010730
,5TDAAAB64SS032197
,58AEZ1B16RU165505
,58ADZ1B15RU184817
,2T2BAMCAXRC039615
,JTHCL5EFXE5019937
,58AEZ1B17RU174102
,58ABK1GG9JU102021
,2T2HZMDA4LC256957
,2T2HZMDA0MC289018
,5UX23EU02S9W74574
,5LMYJ8XY6MNL00413
,4JGDA7EB2JB077021
,1C4PJLLBXKD444413
,
44378,JTJAM7BX3L5252292
,58ADZ1B1XPU148540
,2T2BZMCA6JC155486
,WAUEAAF47RA052507
,W1N0J8EB1LF791638
,JTDKN3DU0A1022410
,7FCTGAAA6PN022517
,
44464,JTJAM7BX4N5333174
,58AJZ1B15PU146875
,2T2HGCEZ9RC041622
,JTJTBCDX8S5047103
,JTHEZ1CL7LA012540
,2T2BZMCA8HC087475
,WDC0G4KB2JV076254
,WBX13EF08R5X83085
,WA1L2AFP3GA140981
,W1KAF4HB0PR150766
,5TDDZRBH0LS014691
,5LMPJ8K43RJ842745
,1G6DF5RK7P0104001
,
44528,JTJGARBZ5M5032945
,JTHX9JBH8R2079334
,2T2HZMDAXNC367483
,2T2BAMBA3RC047086
,JTJYARBZ7H2068499
,JTJHZKFA9N2036248
,YV4AC2HM8K2076049
,WP0CA29882U620623
,WDC0G4KB1KV187945
,WA1EECF30N1149594
,JN1BY1AR2GM271202
,5TDDZRFH7KS712918
,4S4WMARDXK3420615
,2FMPK4K80GBB17715
,
44562,JTNB11HKXJ3025744
,
44608,JTJAM7BX9P5353116
,JTJAM7BX5L5247272
,58AJZ1B18RU182188
,58AD11D12RU013236
,2T2YZMDA2NC343002
,2T2GGCEZ9SC066618
,2T2BAMCA9RC078440
,2T2BAMBA1RC042727
,YV4A22PL0J1365104
,WP1AB2A59GLB54704
,WDD3G4FB4KW001764
,JTNB11HKXJ3025744
,JTERU5JR0R6237647
,JTEBU5JR7G5326054
,5YFBURHE6HP736394
,5XYP5DGC7RG451490
,5TDGZRBH8NS214945
,5TDFZRBH3MS130641
,5N1DL1HUXNC343471
,19UUB6F61MA008250
,
44663,JTJAM7BX4N5314012
,2T2HZMDA5NC340384
,2T2HZMDA1MC305999
,JTJBARBZ8G2051277
,WP1AA2AY1RDA09814
,WDDUG8FB3GA221350
,WDDHF8JB0EB017172
,SALRR2RV6L2442628
,5UXJU4C04L9C51133
,5J8YD4H32LL041120
,5J6RM3H73GL024889
,5FNRL6H96LB040271
,2HKRW6H34JH225498
,1GNSKGKL8NR232617
,
44705,5TDAAAB6XRS009999
,7SAYGDEF4PF937130
,1FM5K8GC3PGA76663
,1C4PJLCB7JD596552
,
44763,58ADZ1B19NU121973
