ORDER,VINS
43951,KMHL34J27NA239411
,KMTG34TA3NU086584
,1FMCU9GN3PUA01018
,1FTFW1E57PFA27478
,1FTFW1E55MFB17479
,1N6AA1ED0MN521115
,1GKS2CKL7NR325490
,1FMCU0F77JUA22878
,1FMEE5EP5MLA42531
,1C4RJKDG7N8508157
,1FM5K8GC7LGA32689
,5TDYRKEC6PS165212
,
43999,1FMCU9G93GUA93105
,3FMCR9B64MRA60311
,1FTEW1E46LFA54734
,3FTTW8E30PRA38917
,1FTER4FH3KLA66561
,WMW33DH04P2T26735
,1C4PJMBB0HW562121
,1GNEVKKW6LJ209320
,1FTEW1E40LFB77395
,1GTU9FEL9LZ322973
,3GTP9EEL7LG198158
,
44030,1FTEW1EG3GFD15172
,1C4JJXR67PW703149
,3GTP9EEL7LG198158
,1FTER4FH3KLA66561
,1C4HJXEG8JW317649
,1FAHP3F23CL454504
,5N1BT3CBXPC782066
,1GTU9FEL9LZ322973
,5NMP4DGL4RH002518
,1GYS4DKL6MR388066
,2T3S1RFV2MW195209
,KNDNB4H34P6191306
,
44068,1C4PJLDB4HW522633
,2FMPK4J98PBA24855
,1FTFW1ED4MFB33888
,1C4HJXFN0LW282606
,1FMEE5DP1PLB18526
,1FTEW1EG2KFA15146
,2FMHK6C85GBA11288
,1FATP8FFXK5204688
,5N1AZ2MH9FN269739
,5YJ3E1EB1JF114090
,1FT7W2BT8GEC14070
,JN8AY2DB2M9794106
,
44137,1FTFW1E55PFA63346
,1C4RJKBG3M8122868
,1FTBF4XV0JKA37801
,1FMEE5DP0PLB35494
,1FTEW1E46LFA54734
,1FTEW1EG1GFB94299
,1FTYR2YM1JKA79681
,1N6BF0KM8KN807103
,JN8AZ2NE1K9235262
,1FTBR1YGXLKA35837
,1FTYR1YG8JKA87510
,3FA6P0LU3JR274465
,1FTFW1CT0DKD40201
,1FBAX2X80MKA32291
,
44171,KMHL34J27NA239411
,3FTTW8E30PRA38917
,1C4PJLDB4HW522633
,3FMCR9B64MRA60311
,1FTFW1ED4MFB33888
,JN8AY2DB2M9794106
,
BASELINE 5.29,3FMCR9G62RRE51084
,2FMPK4G91RBB19820
,1FMCU9PA2RUA63090
,1FMDE8BH7RLA71403
,1FMCU0GN4RUB24244
,1FMUK8DH6SGA08653
,1FMUK8KH8SGA24100
,1FMJU1RG3REA98547
,1FMUK8DH4SGA51792
,3FMCR9G67RRF37930
,1FMEE9BP4RLA76365
,3FMCR9C6XRRF55103
,1FMUK8KH8SGA96155
,1FMCU0MN1SUA19817
,1FMCU9GN5SUA21408
,1FMCU0GNXSUA16250
,1FMCU9GN4SUA25157
,3FMCR9C67RRF19319
,1FMUK8DH1SGA43293
,1FMDE7AH1RLB28786
,1FMCU0MZ0SUA34019
,1FMCU9GN6SUA35401
,1FMCU9GNXSUA34364
,1FMCU9GN5SUA15771
,1FTYE1Y89RKB87616
,1FMCU0GN0SUA67904
,1FMCU0GN0SUA68843
,1FMCU0MN9SUA48322
,1FTEW3K80SKD03635
,1FTFW2L54SKD10767
,1FTMF1LP9SKD30144
,1FMWK8GC1SGA63049
,1FA6P8TH1S5107902
,3FMCR9BN6SRE13653
,3FMCR9BNXSRE14367
,3FMCR9BNXSRE14479
,3FMCR9DA2SRE14549
,1FTFW2L5XSKD30053
,1FMWK8GC7SGA76498
,3FMCR9CN3SRE03256
,1FTEW1LP1SKD31261
,1FTEX2LPXSKD40799
,3FMCR9DA9SRE20929
,1FTFW3L80SKD30451
,1FTMF1LPXSKD40083
,1FTYE1Y88SKA15101
,3FMTK1SU4RMA50337
,1C4RJFJG8LC387001
,1FMCU0GN7SUA82982
,1FMCU0MN0SUA67292
,1FMCU9GN0SUA68569
,1FMEE8BP1SLA47017
,1FTFW3LD4SFA53647
,1FTFW3LD5SFA52345
,1C6HJTFG6LL129134
,1FM5K8HTXKGA56935
,1FT8W2BT8SEC48670
,3FMCR9B66NRD07684
,3VW5DAAT8KM500087
,5N1AT3AB3MC848905
,1FMEE9BPXSLA52142
,1C4RJFBG7MC771819
,1C6SRFFT2PN601370
,3KPF44AC5NE500538
,3VV3B7AXXMM131128
,1FMCU0GN4SUA83247
,1FMCU9GN7SUA80296
,1FTBR1Y83SKA14545
,1FTEW1EP8NKE82437
,1FTFW3L57SKD67003
,1FTFW3L57SKD74713
,WBX73EF00P5W86745
,WMZ53BR04N3N55681
,1C6JJTBG7LL123317
,1GKS2CKL7NR325490
,1C4PJMBX7ND517681
,1V2TE2CA1MC235265
,2C3CDXMG8NH139155
,5TFCZ5AN4KX198909
,1FMCU9GN0SUA78261
,1FMCU9GN5SUA90339
,1FMEE8BP6SLA48101
