ORDER,VINS
44086,3GNAXKEV8NL211500
,5J8YD3H83KL004808
,1C4RJYB61N8748835
,1N6ED1EJ4PN657010
,1GT12UEY0HF128882
,1N6AA1FB1RN107796
,1FT8W3BT5LEE68680
,
44102,3N8AP6CA4SL301517
,5FPYK3F87JB000003
,1GYFZDR41NF111023
,1C6SRFBT6NN480555
,W1K5J4GB5PN357159
,1N6ED1EK7PN628562
,WBA63DA03SCT30883
,
44134,1ZVBP8EMXD5203305
,LRBAZLR4XMD047177
,2C3CDXBG2NH212958
,3MW39FS02P8D51749
,
44158,WVWEB7CD6RW224956
,5LMCJ1D9XMUL22810
,
44186,KNDNB4H38N6114712
,1C4RDJDG8PC597223
,WBX73EF09P5W86761
,
BASELINE,3FTTW8A36SRA74397
,1FMCU0GN1SUB03504
,1FMCU0GN4SUB04078
,1FMCU0GN6SUB03823
,1FMCU0GNXSUB04523
,1FMCU0GN1SUB03907
,1FMCU0GN4SUB04260
,1FMCU0GN4SUB03755
,1FMCU9GN8SUB03472
,1FTFW3L5XSFA95992
,1FTFW3L87SFA98293
,1FTFW3L87SFA99234
,1FTFW3L53SKE44854
,1FTFW3L54SKE44331
,3FTTW8A3XSRA78307
,3FTTW8BAXSRA76392
,3FTCW8PA2SRA61894
,3FMCR9BN0SRE64940
,3FMCR9BN2SRE64437
,3FMCR9GN9SRE54402
,3FTTW8JAXSRA26982
,3FMCR9GN5SRE52002
,3FTTW8JA4SRA34835
,1FTER4PH1SLE07891
,1FTER4PH0SLE09700
,1FBAX2C89SKA44748
,3FMCR9CN9SRE36729
,3FMCR9BN3SRE25954
,3FMTK3R72SMA09772
,3FMCR9BN0SRE24633
,3FMCR9GN0SRE29887
,1FMCU0GN5SUB04512
,1FMCU0GN7SUB03667
,1FMCU0GN8SUB04374
,1FMCU0GN0SUB04501
,1FMCU0GN1SUB04636
,1FMCU0GN6SUB03613
,1FTMF1L53SKD46483
,1FMCU0GN6SUB03403
,3FTTW8C95RRB60473
,1FMCU9GN0SUB03479
,1FMCU9GN9SUB04579
,3FMCR9BN2SRE19918
,3FTTW8C96RRA57658
,3FTTW8NA5SRA08478
,1FMCU0GN6SUA78955
,3FMCR9BN8SRE19082
,1FT7X2BN7SEC23298
,1FMCU9JA5SUA67536
,1FTBR1C85SKA14036
,3FMCR9CN8SRE29416
,1FMUK8DH7SGA37630
,1FMUK8DH4SGA20686
,1FMUK8DH9SGA52193
,1FMUK8DH1SGA70848
,1FMUK8DH5SGB71908
,1FMWK8GC1SGC21308
,1FMEE0RR6SLA56241
,1FMUK8DH7SGA51995
,1FMCU9GN1SUA21566
,1FTFW4L53SFA51144
,1FMCU0E16SUA04502
,1FBAX9C87SKA47642
,1FAGP8UH0S5101978
,1FMCU9GN1SUA17792
,1FA6P8CF2S5401811
,1FTEW1LP7SKD49960
,1FMDE7AH7RLA92666
,1FTFW1L56SKD12577
,1FMCU9PA7SUA49725
,1FA6P8CF5S5404251
,1FT8W3BTXSEC98220
,1FMCU0GN8SUA79587
,1FMCU9GN1SUA49593
,1FMDE1AP3RLB04798
,1FMCU9GN0SUA70631
,1FMCU0GN7SUA94002
,3FMCR9C67RRF35813
,1FMCU9GN4SUA81423
,1FMCU9MN1SUA52742
,1FMWK8GCXSGA36948
,1FMCU9MN1SUA21281
,3FMTK3R4XRMA03170
,1FA6P8R07S5501647
,1FMDE1AH1RLA46067
