ORDER,VINS
BASELINE,YV4A221L6L1592907
,YV4H60DZ8N1050301
,YV4BR0DM7N1945991
,YV4H600A5P1965674
,YV4A221L4N1794387
,YV4062RA2P1254509
,YV4L12PE0R1231797
,7JRL12TL3RG299078
,YV4L12RL6N1046983
,YV4L12PE3R1224021
,YV4A22PK7N1841619
,YV4L12PE2R1235916
,YV4H60CW9P1968858
,YV4L12RKXN1964016
,YV4H60CA2P1950058
,YV4062PA4P1911040
,YV4062RL0N1942202
,7JRL12FZ2NG165348
,7JRH60FL9NG192327
,YV4BK0DP4N1947051
,7JRL12TLXRG302980
,YV4BR0CL6N1787264
,YV4L12RLXN1987322
,YV4162ULXM2551725
,YV4H60DM9R1713384
,YV4L12PN8P1921200
,YV4L12PE6R1235854
,YV4L12RM6N1951314
,YV4102WK0M1069812
,YV4062PN4P1974951
,YV4H60CF2R1202148
,YV4L12PE2R1238329
,YV4A22PK4N1828262
,7JRL12TK2RG317741
,7JRL12TM8RG288330
,YV4L12PN2P1965449
,7JRL12TK8RG316271
,YV4H60CM1N1834454
,YV4L12PE1R1229802
,YV4L12RL8R1897138
,YV4062PE5R1171844
,YV4062PNXP1920389
,YV4062RM9N1031911
,YV4L12PE3R1242275
,7JRL12TK7RG315368
,7JRL12TK9RG320913
,YV4062RL5N1921281
,LVYH60AF5RP384178
,YV4A221L6N1826112
,YV4L12RL6R1897509
,YV4H60CFXR1196440
,YV4062PF7R1163804
,YV4062PF8R1145070
,YV4L12RL9R1897567
,YV4062RL2N1033233
,YV4A221K7N1798666
,YV4L12UX5P2072935
,YV4062RM1N1953427
,YV4062PEXR1163352
,YV4062PA9P1927654
,YV4L12PE4R1238431
,YV449MRU8H2068595
,YV4902RK9F2731169
,2FMDK3KC3EBB64557
,YV1612FS3D1231769
,WAULFAFH3DN006136
,4T1KZ1AKXPU086713
,1C4HJXDNXMW677283
,ZASPAKBN5M7C99554
,1FATP8UH0L5124581
,1C4RJFAG8LC200596
,JN8AZ2NE8K9228227
,4T1BD1EB4HU058352
,1C4PJXFG6RW252869
,1C4RJFBG5HC914286
,JF1VBAU69P8807154
,1C4HJXFN7MW661359
,3N1AB8DV8PY297587
,4T1G11AK9LU866774
,SALE2FEU5P2161000
,1N4AA6APXHC420977
,1C4HJXFG3KW584908
,JF2GTAJC0J8342640
,2LMPJ8LR0HBL46029
,58ABK1GG0JU088834
,5GAEVCKW0LJ125123
,3VV2B7AX6LM061413
,1C4PJXFG7RW259846
,JTDKAMFU2N3174813
,YV126MFL3J2457871
,WMZYU7C51K3E57282
,5J8YE1H44NL011737
,WAU6ULFF9J1030327
,1C4SJVAT7NS191990
,YV4162XZ2K2017891
,YV4H60DP9R1824818
,YV4ER3GM2R2106194
,YV4062PE9S1292138
,7JRL12FK8RG310143
,YV4L12RL0R1902736
,YV4L12UJ6S2498587
,YV4M12RM6S1152410
,YV4H60RM7S1104051
,YV4H60RC9S1074980
,YV4H60RC0S1116999
,YV4H60RM1S1051198
,YV4H60PE2S1327805
,YV4H60RJ1S1016022
,YV4H60JF3S1340810
,YV4M12RM8S1139996
,YV4L12UE8R2203440
,YV4H60RM7S1088322
,YV4M12RC0S1118289
,YV4M12RC9S1104097
,7JDE23KL9SG000895
,YV4M12RC6S1135484
,YV4L12WY9R2137083
,YV4062PE1S1327156
,YV4L12UF9S2480838
,YV4H60PF5S1330173
,YV4062PE6S1305914
,YV4M12RJ8S1138255
,YV4H60DL5R1914447
,YV4062PE1S1320028
,YV4M12RM4S1108096
,YV4062JE8S1312694
,YV4062PE7S1305954
,YV4062PE7S1302567
,YV4L12RL3R1905159
,YV4H60RC9S1056656
,YV4M12RM3S1075043
,YV4L12UE8S2552698
,YV4H60JG7S1350121
,YV4M12RM9S1102374
,YV4H60LF9R1168905
,YV4062NL2S1201017
,YV4062JF0S1309653
,YV4L12UC7S2537527
,YV4H60DK8R1897585
,YV4062PE3S1313520
,YV4L12RL8R1904203
,YV4L12UC6S2492970
,YV4L12UC0S2466400
,YV4H60PE2S1290464
,YV4H60RM1S1138874
,YV4062NL8S1201023
,YV4M12PE2S1304520
,YV4H60RC5S1075284
,YV4H60PEXS1334873
,YV4M12RCXS1104254
,7JRL12TK8RG310129
,YV4H60RC3S1070648
,YV4062PE0S1324314
,YV4L12UF1S2451897
,YV4062JF1S1318670
,YV4L12UE5S2526768
,YV4L12UF4S2537253
,YV4062PE4S1326616
,YV4L12UJXS2534586
,YV4062PF3S1296422
,YV4L12UE2S2547903
,YV4062PE5S1304317
,YV4H60RC3S1026780
,YV4H60RC7S1109483
,YV4L12UE5S2488636
,YV4L12UE4S2461699
,YV4L12UJ5S2549416
,YV4M12PE3S1314117
,YV4M12RJ8S1111413
,YV4H60DLXR1821388
,YV4M12RJ8S1045042
,YV4H60RJ5S1148247
,YV4L12UF2S2522038
,LVY062AFXSP447578
,YV4H60RC8S1016536
,YV4062PEXS1304281
,YV4M12RC6S1026250
,YV4L12UC4S2476590
,YV4H60PE8S1318168
,YV4M12RM3S1098452
,YV4M12RC7S1086330
,YV4062PE2S1337646
,YV4L12UM7S2552943
,YV4H60DM9R1947248
,YV4L12RL1R1904611
,YV4H60RM1S1050312
,7JRL12TH7RG303693
,YV4M12PE6S1296762
,YV4L12UC9S2539408
,YV4L12UC2S2490634
,YV4H60PG7S1357965
,YV4H60RC8S1104681
,YV4L12UE8S2466100
,YV4M12RC5S1112729
,YV4L12UM6S2529296
,YV4H60PB0S1351476
,YV4H60RC8S1029531
,YV4L12WK1S2147169
,YV4H60DL6R1897643
,YV4062PE0S1337564
,YV4H60RC2S1103929
,YV4M12RJ1S1132300
,YV4062PF2S1322850
,YV4H60RJ7S1044794
,7JRH60FLXRG302789
,YV4L12UM2S2482199
,YV4H60RM2S1113644
,YV4L12UC2S2458721
,YV4L12WL3S2147036
,YV4L12UC1S2491564
,YV4L12RL9R1904615
,YV4L12UF7S2555245
,YV4H60RM9S1000029
,YV4L12RL5R1902621
,YV4H60RC7S1154553
,YV4L12UJ9S2524941
,YV4M12PE0S1345941
,YV4H60RC7S1011523
,YV4H60PG7S1351969
,YV4H60RM5S1001906
,YV4H60JG0S1349117
,YV4M12RC7S1108133
,YV4M12RC0S1112864
,LVYH60AF6RP410058
,YV4H60RM9S1097829
,YV4L12UE3S2457739
,YV4M12RC4S1001489
,YV4H60RC5S1087922
,YV4062PG3S1350147
,YV4M12RC4S1102872
,YV4062PE5S1338080
,YV4H60RM5S1075133
,YV4L12UC2S2452532
,YV4M12RC8S1131761
,YV4L12UC3S2477097
,YV4062PE9S1345310
,YV4H60JEXS1328631
,YV4H60DK0R1897581
,YV4L12UC2S2541047
,YV4M12RC0S1048499
,YV4H60RD7S1074176
,YV4H60PE9S1320396
,YV4H60JB9S1359309
,YV4L12UE4S2548003
,YV4M12RC8S1032471
,YV4M12PJ7S1300993
,7JRL12FH0RG291429
,YV4L12UE8S2457445
,YV4M12RJ7S1153328
,YV4H60JF9S1347972
,YV4L12UF8S2553536
,YV4H60CE8R1238868
,YV4H60RCXS1138976
,YV4L12UE3S2451729
,YV4M12RJ6S1149934
,YV4H60PF5S1305161
,YV4H60PE9S1315148
,YV4H60RM0S1103789
,YV4L12UM8S2451636
,LVY062AE7SP441597
,YV4L12UC7S2458312
,YV4M12RC6S1029102
,YV4M12RC6S1087484
,YV4M12RC8S1067513
,YV4M12RM5S1072984
,YV4H60DL2R1897655
,YV4M12RJ5S1043197
,YV4H60RM0S1104036
,YV4M12RC2S1035043
,YV4L12UJ7S2464528
,LVYH60AF5RP411637
,YV4062PE2S1330244
,YV4L12UE4S2485887
