ORDER,VINS
44087,1C4RJKAG7M8161061
5/23/25,1GCGTEEN8K1349458
,1GCGTDENXN1294199
,1C4HJXFN0NW141263
,1GCUDJEL7RZ198082
,
44098,1GTUUAED1RZ324879
,3GTU2UEC0FG165248
,
44157,3C4NJDCB2NT151343
,1G1JD5SB6L4122324
,3GNAXTEG6PL251469
,3GNAXFEG6PL190450
,1G1JD5SB6L4141889
,
baseline 5.30,1N4AL2AP7CN496592
,3KPFK4A72HE093002
,2G1WG5E3XD1177583
,KL7CJKSB1JB569253
,2GNAXKEV0K6114615
,1G1ZD5ST3JF101153
,KL8CF6SA6KC728856
,1G1JD5SB6L4122324
,1G1JD5SB6L4141889
,2FMPK4K85HBC54750
,5NMS2CAD3KH054322
,JF2SKAEC0KH511483
,1G1ZG5ST2NF201645
,ZACNJBBB7LPL92337
,NM0LS6F21L1475493
,1G1ZC5ST7LF135263
,KL7CJPSM0NB528410
,1G1FY6S05P4131052
,KL79MPSL6MB160581
,1GTV2MEC1GZ183117
,3GNAXFEG6PL190450
,1C6RR7FT7HS724329
,1FMCU0G64NUA06374
,2C3CCAAGXNH107537
,1C6RR7FGXJS254791
,3GNAXKEV0NL310733
,3GNAXKEV4NS211287
,2GNAXKEV7N6121677
,KL4MMDSL3PB079709
,3C4NJDCB2NT151343
,3GNAXTEG6PL251469
,3GNAXKEGXPL160392
,KL79MTSL9PB106897
,3GNAXKEV8MS144868
,3GNAXKEG4PS137714
,3GNAXKEG3PS149059
,3GNAXKEG2PL177283
,KL77LKE27RC109866
,3GNAXKEV3NS210499
,JM1GL1VM6M1611092
,3GNAXKEG0PS124748
,3GNAXKEG6PL160065
,3GNAXTEG6PL252721
,3GNAXKEG1PL146784
,JM3KFBDM1N0551181
,3GNAXKEG5PL118843
,1GNEVJKWXKJ291965
,KL4CJESM2NB520228
,3GNAXKEV8NS226956
,3N1AB8DV5RY279194
,1GNSKBKC7HR163071
,3GNKBCR42NS221410
,1GNEVGKW0PJ133919
,3GNAXUEG3PL167115
,3GNAXKEG3PS124520
,3GNAXKEVXNL303403
,3GNKBCR40NS127266
,3GNKBCRS0MS584690
,3C4NJDCB7NT144016
,1G1ZG5ST4RF248696
,3GKALMEG1RL301762
,3GNKBCR4XPS166966
,3GNKBCR46PS146746
,KL79MRSL6SB054298
,LRBAZLR46PD012446
,3GNKBCR43PS161401
,3GNKBCR47PS153866
,LRBAZLR46PD065048
,3GNKBCR46PS157939
,3GNKBCR4XPS202381
,3GNKBCR42PS161342
,3GNKBCR48PS116003
,3GCUKSECXJG565489
,3GNKBCR47PS221521
,3GNKBCR47PS195096
,3GNKBCR47PS172837
,3GNKBCR4XPS201019
,3GKALMEG5RL213734
,KL4MMESL0PB127981
,3GNKBCR44PS189420
,KL4MMGSL8PB113029
,1GKS2HKJXHR242491
,LRBAZLR46PD036293
,4T1C31AK1PU611339
,2T3P1RFV0MW205788
,3GNKBCR49PS219480
,LRBFZNR40PD054208
,3FMCR9B68RRE85702
,1C4HJXDG9NW149673
,3GNKBKRS5MS570861
,1C4RJKAG7M8161061
,1GNERHKW3NJ142878
,1GNERGKW4NJ178556
,3GNKBDRSXPS160475
,1GNEVGKW3NJ150680
,1C4HJXEG2MW616722
,1GTW7AFP9P1236019
,1GNEVGKWXNJ137229
,1GNEVGKW6NJ162953
,1GNEVGKW1PJ293369
,1GTW7AFP8P1216599
,3GNKBDRS7PS206747
,3GNKBDRS2PS206672
,1C4HJXFG6MW822639
,1GNEVGKW5NJ151040
,1GCGTEEN8K1349458
,3GNAXLEGXTL129322
,3GNAXLEG5TL113187
,1GCGTDENXN1294199
,3GTU9DED0MG474705
,1GTU9DED8MZ207943
,1C4HJXFN0NW141263
,5GAEVAKWXPJ203417
,3GCUYDED5MG456638
,3GNKBHR44SS163227
,3GNAXSEG0TL114581
,1GCGTEEN1M1296458
,1GKS2HKJ7LR199477
,1GTUUAED1RZ324879
,1GCUYEEL9MZ422876
,1FTFW1RG7KFC08357
,2GCUDGED6N1516126
,1GTU9FEL8MZ243523
,1FT7W2B67NEG33390
,3GNKBERS3SS138459
,3GNKBFRSXSS184098
,1GCPTFEK1R1258229
,2GCUKGED0S1134403
,2GCUKEED7S1161456
,2GCUKEED2S1160571
,1C6SRFJP3SN644165
,3GCUKGED4SG171977
,3GCUKGED3SG187796
,2GCUKGED4S1139488
,3GCUKEE88SG216670
,1GNERKRS9SJ252362
,1GCUDJEL7RZ198082
,1GNEVKRS3SJ215562
,1GCUKJEL7SZ203552
,1G1YD3D78G5109716
,1G1FH1R73L0104424
,1G11G5SX1EF159811
,1FMZU70EX3UA03772
,12345678910121314
,12345678910111214
,
44185,1G1ZG5ST2NF201645
5/30/25,3GNAXTEG6PL252721
,3C4NJDCB7NT144016
,
44225,3GNCJTSB9FL204275
6/3/25,3GNCJKSB1KL264300
,KL7CJPSB6MB343324
,1G1FY6S05P4131052
,2FMPK4K92LBA36623
,1GCNKNEC3JZ361865
,1GCUYDED7KZ126917
,1C6SRFHT2KN583314
,3GCUYDED5MG456638
,2GCUDGED6N1516126
,5J6YH28504L019251
,1G1FF3D70M0139125
,
44272,1G6AB5SX8H0190702
,3GTU9BED1KG253261
,1GCRKBEK0SZ136361
,1C4PJXEN9RW124772
,3GNAXKEV0MS102078
,2FMDK3KC2BBA49976
,1N4AL21E89N489755
,1GNDS13SX62307825
,1FMCU0F71FUC35963
,
44327,1G1PC5SB0F7279394
,YV140MFK2F1357470
,3GNAX5EV5NS115024
,1FTEW1EP4LKD38994
,2FMPK4G95PBA17305
,1GYKNCRS1MZ147973
,3GNAXKEG0TL105170
,3GNAXLEG2TL143795
,1GC4KNE7XSF220521
,5GRGN23U86H121622
,3GCUDGET7NG662789
,1GCNCPEXXCZ142772
,
44383,KM8J3CA4XKU956673
,1GCGTCEN7M1175518
,4T1BK46K27U035558
,3GCUKSEJXHG326470
,2C4RDGCG1HR562035
,1C3CCCAB4FN521101
,
44420,1G1JA6SH5F4171313
,1G1BE5SM5K7147313
,1GCVKPEH1JZ217254
,KL77LKEP8SC138777
,KL79MRSL0SB054801
,1GCUYBEF2MZ128969
,3N6CM0KN6MK695400
,3GNAXWEG3RS180449
,3GKALVEV0LL236222
,2GNALFEK4C6116670
,1GNEVKKW4PJ114955
,1GCVKREC3JZ261076
,1GCRYBEKXMZ335645
,1GCRKSE74CZ274921
,1GCPTEEK4R1181933
,1GCDM19X65B108775
,1G4PP5SK3D4254205
,
44515,1FADP3F2XDL302056
,1G11B5SAXGF116906
,5XXGT4L30JG273121
,3GCUKSEC1FG490866
,3FMCR9F94MRA13199
,1GNERGKW5PJ254742
,1GNERHKW6NJ139764
,5J8TC2H60ML048189
,3C63RRMJXNG176204
,
44567,KL77LKEP8SC132994
,KL79MRSL3SB191943
,3GNAXNEG3PL149090
,1G1FA1RS8P0149762
,3GNAXKEG7TL110222
,3GNAXKEG7TL117364
,1C6SRFLT8PN654871
,2GCUKEED3S1150437
,1GCUKJEL9SZ255779
,1GT49PEY4MF306099
,1GCHC23U24F114783
,
44609,2GNALBEK2H6124489
,3VWC57BU9LM081747
,3N1CP5CV6RL515388
,5FNYF6H51KB053797
,3GNAXKEV5NL301171
,1FMSK8DH2NGA37322
,WAUB4AF47KA111717
,3GCPKBEK0SG187334
,2G1WT58KX89142712
,1C4BJWDG6EL198296
,
44668,1G1FZ6S04L4148982
,5J6RM4H71GL049537
,1GCNCNEC4JZ378901
,ZFBHRFAB4N6W66166
,1GKS2CKJ2KR263734
,1G1FG1R77J0132033
,1GNSKSKD8MR158772
,KL7CJKSBXHB060546
,3VWSF71K76M806095
,1J4HR48N05C710984
,1GCVKREC1GZ351237
,1FMCU0GX9DUD10100
,
44700,2A8HR54149R528600
,1G11E5SA1DF165219
,
44756,KM8J33A43HU453317
,2GNAXNEV2K6112818
,KL7CJPSM8NB566239
,KNDMB5C13L6618363
,2G11Z5S33K9129379
,1G1ZB5ST5LF127939
,2GNAXHEV5N6144474
,3GNAXHEG6PL154639
,3GNAXHEG3PL174380
,3GNAXKEG9PS185323
,3GNAXKEG8PS136212
,3GNAXKEG4PL146746
,KL79MUSL9MB018532
,3GNAXKEG7PS130983
,3GNAXKEG5PL175477
,3GNKBCR40PS202308
,3GNKBCR49PS169499
,3GNKBCR48PS214416
,3GNKBCR48PS189159
,3GNKBCR43PS222827
,3GNKBCR48PS109522
,3GNKBCR42PS181185
,3GNKBCR4XPS220654
,3GNKBCR48PS173320
,3GNKBCR42PS211723
,3GNKBCR4XPS228625
,3GNKBCR46PS175776
,3GCPYBEK5MG338427
,1GKKNKL48PZ182674
,1GKKNKL47PZ208262
,1GKKNKL41PZ238938
,1GKKNKL47PZ199336
,3GNKBERS6NS177146
,3GCPDKEK7NG541123
,1GCPTCEK1R1180744
,2GCUKDED8S1160648
,1GNERKRS3SJ280318
,5NPEC4AC6CH395712
,4T1BK1EB6JU266132
,3GCUKREC1GG214035
,2GTEK13T561180133
,1GCRKSE06BZ409253
,1GCCS136258177624
,1B3BD2FG5BN535233
,
44820,2GNAXJEV7J6122056
,MAJ6S3FL4NC475962
,2GNAXSEVXM6154610
,1G1ZB5ST4NF209681
,1G1ZD5ST2RF122300
,3GKALMEV1NL131167
,1G1ZD5ST0RF164674
,2C4RC1EG0LR283004
,1C4PJMMX3MD218779
,1FMCU9MN1PUB43629
,3GNAXTEG8RL264680
,3C6TRVCG8JE137700
,2FMPK4G93RBB19978
,1GCWGAFP7P1243048
,1GCWGAFP5P1197722
,WVWWF7AU7JW065607
,1GCZGGFG6H1145467
,1GCPTEEK0P1269018
,1V2BE2CA6RC246992
,1C4SDJCT0RC200249
,1C4RJKEGXR8540380
,1G1YC3D49R5111437
,2G1WL52M5X9250938
,
44865,3N1AB7AP8KL626746
,ZACNJABB9LPL16922
,KL79MUSLXMB178595
,KL79MSSL9NB020965
,KL79MTSL7SB037250
,3GNAXHEG8TL128859
,2GCUKEED1S1150484
,3GCUKGED6SG365085
,3GCUKGED0SG363011
,1B3BD1FB8BN556723
,
44902,1G1JG6SBXK4130910
,2GNAXKEX2J6165887
,1G1ZC5ST0LF131670
,3GNAXXEV7LS595236
,2GNAXUEV1N6107074
,3GNAXKEVXNL234390
,3GNAXKEG9PL177846
,3GNAXKEG1PL176271
,3GNAXKEV0NS239815
,3GNKBCR4XPS170760
,3GNKBCR48PS234374
,1FTER4FH4LLA05592
,1GKKNRL40PZ187392
,1FMEE5BP0PLB99618
,SAJWJ2GD7D8V45827
,KNMAT2MT0GP627682
,KL4CJESM8NB533890
,KL4CJASMXNB529977
,5XXGN4A78CG050215
,1GCHK23628F122909
,
44944,1G1BC5SMXJ7220471
,2GNAXKEV9M6139855
,5NMJCCAE6NH062811
,1GCUKREC4HF120850
,3GNAXPEG1TL103263
,3GCPDBEK9NG536165
,3GCPYFED4NG140576
,3GCUKEED3SG276787
,KNDMB5C18H6332743
,2C4RDGCG0DR679910
,1G1115SLXEU151555
,
45000,1GKKNLLS8NZ140426
,
45040,KNDPM3AC5H7168913
,1FA6P0H71F5105090
,1GCZGGFG5L1273112
,1GTR8AEH1KZ398614
,1N6AD0CU1KN796011
,KL4MMDSL0PB163759
,3GCUKREC5JG181712
,KL79MUSLXTB018053
,1GC4YUEY5MF164105
,JN8AZ18W49W156839
,3GNCJKSB4KL209064
,2G2WP552561297524
,1GCVKREC8HZ220226
,1G1JC5SH0F4143200
,1FMCU0D76BKC41427
,
45088,1C4PJMCS3HW564153
,1GNERGKW7KJ185738
,1GCHTDE33G1141329
,1GCRYBEH7LZ219077
,KL4AMDSLXRB126126
,1GCPYCEH4MZ437766
,3GCUDDED0NG567742
,3GCUKEED2SG277140
,3GCUKEED7SG276341
,1GCUKGED9SZ340276
,3GKALMEV4LL333997
,1FTRW08L71KB44171
,
45146,2G1FK3DJ5D9113875
,3GCUKSEC5FG243849
,1G1YG3DW3C5106246
,
45187,JM1BL1S53A1348885
,JF1ZNAA10F8705211
,1G1ZG5ST5LF127909
,1G1ZD5ST0NF101763
,3N6CM0KN2MK698715
,1G1ZE5SX2LF029770
,5YFEPMAE7NP366814
,1HGCV1F9XJA035927
,3GNAXJEG8RL166477
,1GKKNXLS1HZ150386
,1HGCV1F31LA083752
,1GCGTBEN5L1113611
,1FTER4FH0MLD92126
,1C4HJXDN3NW135203
,1FMSK8DH2NGC48052
,1C4RJKBG9M8187708
,1FTEW1E47LFA07857
,2GC4YPE7XP1714418
,2GCUKEED5S1161469
,1GD19LE72RF145533
,4T4BF3EK8BR101495
,2G1105SAXG9193841
,1G11C5SA9DF206623
