ORDER,VINS
42440,4JGFB4JE3NA711999
,1C6JJTBG5NL133590
,JA4J4TA86NZ018708
,3GTUUDED6PG234495
,2GC4YUEY7N1212521
,3GCPDCEK3NG634548
,3FMCR9C61PRD49083
,1GC4YREY8RF106011
,1C4HJXEN8PW558067
,1FT8W3BN5PED00044
,3FMCR9C63NRD75469
,ZACNJBBB2LPL48228
,1FTEW1E82PFC16674
,1FTFW1EDXNFB07894
,1FTER4FH8MLD80130
,1FTER4FH9NLD12730
,5XXG64J27MG073388
,1FTFW1EDXMFB78205
,5XYP5DGCXPG356483
,5XYP6DGC9PG408747
,5XYRKDLF8NG119070
,3FTTW8F99PRA64807
,1GNEVKKW7MJ162767
,3FMCR9B68MRA14917
,1FTFW1RG2NFC33316
,1FMJK2AT4NEA67256
,1FMDE5CP7NLB56241
,1FTEW1E42LFB47380
,1FMJK2AT9NEA58200
,3FMCR9D95MRA07897
,1C6SRFJT7LN221278
,1FTEX1EP1PKE19440
,5NTJADAE0PH075279
,2FMPK4J99RBA61402
,1FA6P8CF5N5147967
,3FA6P0LUXLR266656
,3C4NJDBNXPT502403
,3VV4B7AX3RM129779
,JN8AT2MTXLW000380
,1FTFX1E55MFB42539
,5LM5J7XC8NGL18449
,3TYCZ5AN4PT131678
,3TYCZ5ANXMT045853
,1FTFW1EF7DFC80093
,1FM5K8GC5PGB80586
,1FTEW1E50LKE87014
,KMHL64JA9NA218204
,5FNRL6H91NB055389
,1GT49WEY9RF463452
,1FMCU9H61NUA07713
,1FMCU9H64NUA78629
,1FTFW1RG9PFA56900
,1FMSK8DHXNGB97660
,1FMCU9G6XNUB48426
,1FTFW1E86MKF01451
,2FMPK4J9XMBA64611
,3C6UR5DL4PG614202
,2FMPK4K93NBA21986
,2FMPK4G94RBA39511
,4S4BTANC6R3122426
,JF2SJAJC6HH492858
,1FADP3K29HL324660
,5XYP5DGC2PG390448
,JM3KFADM9K1516128
,1FTFW1E51MFB54027
,
baseline,4JGFB4JE3NA711999
,1C6JJTBG5NL133590
,JA4J4TA86NZ018708
,3GTUUDED6PG234495
,2GC4YUEY7N1212521
,3GCPDCEK3NG634548
,3FMCR9C61PRD49083
,1GC4YREY8RF106011
,1C4HJXEN8PW558067
,1FT8W3BN5PED00044
,3FMCR9C63NRD75469
,ZACNJBBB2LPL48228
,1FTEW1E82PFC16674
,1FTFW1EDXNFB07894
,1FTER4FH8MLD80130
,1FTER4FH9NLD12730
,5XXG64J27MG073388
,1FTFW1EDXMFB78205
,5XYP5DGCXPG356483
,5XYP6DGC9PG408747
,5XYRKDLF8NG119070
,3FTTW8F99PRA64807
,1GNEVKKW7MJ162767
,3FMCR9B68MRA14917
,1FTFW1RG2NFC33316
,1FMJK2AT4NEA67256
,1FMDE5CP7NLB56241
,1FTEW1E42LFB47380
,1FMJK2AT9NEA58200
,3FMCR9D95MRA07897
,1C6SRFJT7LN221278
,1FTEX1EP1PKE19440
,5NTJADAE0PH075279
,2FMPK4J99RBA61402
,1FA6P8CF5N5147967
,3FA6P0LUXLR266656
,3C4NJDBNXPT502403
,3VV4B7AX3RM129779
,JN8AT2MTXLW000380
,1FTFX1E55MFB42539
,5LM5J7XC8NGL18449
,3TYCZ5AN4PT131678
,3TYCZ5ANXMT045853
,1FTFW1EF7DFC80093
,1FM5K8GC5PGB80586
,1FTEW1E50LKE87014
,KMHL64JA9NA218204
,5FNRL6H91NB055389
,1GT49WEY9RF463452
,1FMCU9H61NUA07713
,1FMCU9H64NUA78629
,1FTFW1RG9PFA56900
,1FMSK8DHXNGB97660
,1FMCU9G6XNUB48426
,1FTFW1E86MKF01451
,2FMPK4J9XMBA64611
,3C6UR5DL4PG614202
,2FMPK4K93NBA21986
,2FMPK4G94RBA39511
,4S4BTANC6R3122426
,JF2SJAJC6HH492858
,1FADP3K29HL324660
,5XYP5DGC2PG390448
,JM3KFADM9K1516128
,1FTFW1E51MFB54027
,
42507,3FMCR9B64NRE33607
,5XXG34J23MG036170
,1FT7W2BT0KEE33291
,1FT7W2BN5NEC87248
,KL79MUSL2SB009684
,1N4BZ1DV8NC556322
,1FMCU9GN3RUA62260
,2FMPK4J90RBA92991
,2FMPK4J98RBA80118
,1FT7W2BN6NED26249
,1FMJU1MT9HEA18879
,
42610,1FTEW1EPXPFB95001
,1FMEE5DH6NLA88266
,3GCPADED2RG223941
,3FTTW8E30PRA19395
,1FMCU9GN8RUA05603
,1FMCU9H95NUA88595
,1FM5K8HC0LGB93271
,W1Z4EFHY4NT086135
,5N1AR2MN0FC605313
,
42705,1FMEE5DH6NLA88266
,1FTEW1EP5PKE21114
,3GCPADED2RG223941
,1FTFW1E87NFA13071
,1C6RR7GT9MS501976
,1FTFW1E4XKKE35206
,3FTTW8E30PRA19395
,WAUB4AF47KA111054
,1FMCU9GN8RUA05603
,1FMCU9H95NUA88595
,2FMPK4J99RBA36774
,1FMSK8FH3LGA53278
,1G1FZ6S02M4110166
,W1Z4EFHY4NT086135
,KL4CJGSBXDB142359
,2FMPK4G92PBA13065
,1J4NF1GB5BD111814
,
42806,1FTFW1RGXJFD08483
,1FTFW1E50PFC85048
,MAJ3S2KE4KC272568
,3GYFNDE32CS540382
,MAJ6S3GL9NC469332
,1FMSK7DH2PGA13504
,1FMCU9BZ3NUA36973
,
42892,3FA6P0CD7LR169530
,1FMEE5DH5NLB08524
,1FTEW1EP8HKE14790
,1FA6P8R02R5501761
,1FMSK8FH3MGB95552
,
43008,5FNYF6H9XLB024707
,2T3DWRFV9KW035612
,1FM5K7DH5JGC48709
,1FMCU9MNXRUB03360
,1FA6P8TH2J5184700
,1FTFW1RG9RFA23222
,1FM5K8GC2LGC46232
,
43104,3FA6P0LU5LR114008
,1FMCU9H96LUB04185
,1FTFW1E52PKD20325
,1FTFW1E88NFB35504
,1FMDE5BH0PLB61391
,1FTER4LR3RLE55725
,1FDUF5HT7GEB56878
,2FMPK4J92NBA50168
,
43182,1FT7W2BN6NEF40612
,1FA6P8CF8N5149390
,1FTEW1E50KKC72179
,KNDEPCAA1P7418370
,1FMCU9H69LUA55280
,1FT7W2BT6NEC77293
,1LNHL9FT2DG611205
,1FT7W2BT9BEC15561
,1FTEW1EG8HFB76674
,3FAHP0GA7CR289675
,
43364,1FTER4FH3MLD17131
,1FTEW1E84PFA85988
,1FTFW1E87MKD48305
,1FMEE5DPXNLA74488
,1FTER4FH5MLD31421
,1FTFW1E84MFB27527
,3GTU9FED1NG142091
,1FM5K8HC8NGA78145
,1FTBR1Y8XPKA17966
,1FTFW1RG7SFA12404
,1FTFW1E50NKF04613
,1FMCU9JA9PUB44156
,2FMPK4K91RBA96191
,1FM5K8F8XFGC61241
,2FMTK4J88FBB73206
,
43493,1FTEW1E56KKE62066
,3FTTW8F93NRA96505
,1FMDE5BH5NLB70522
,1GC4KTEY7SF124343
,1FMCU9J9XNUB34755
,4S4BTAPC8L3134940
,2LMPJ8KP8NBL27112
,1FMJU2AT7MEA56339
,
43582,3FA6P0HD4LR188660
,1FTEW1E46KKC12124
,1FTFW1E81MFB69248
,
43663,1FTMF1CP7NKE23006
,1FTEW1E54LKE67431
,1FTEW1EP7LFB52147
,1FTEX1C53KKC41461
,5TFMA5DB5RX213859
,1FMEE5DH9PLA92783
,
43743,1FT7W2BN9LED21415
,1FMDE5CP6PLC03441
,2T3DWRFV8KW042485
,1FATP8UH9L5162648
,2FMPK4K95NBA38255
,1FTFW1RJ5RFB14712
,
43852,KNDRKDLG4P5160414
,2HKRS4H48RH427233
,1C4RJKEG6R8540294
,
43983,4JGFB4JE3NA711999
,1GC4YREY8RF106011
,1FTFW1EDXNFB07894
,5XYRKDLF8NG119070
,1FTFW1RG2NFC33316
,3C4NJDBNXPT502403
,1FTEW1EGXJKC23345
,1G1FZ6S02M4110166
,1FTEW1E84PFA85988
,1FTFW1E55MKE40762
,1FATP8FF9N5146996
,KNDRKDLG4P5160414
