Totals:,,,DUPLICATES,,,,ORDERED,PRODUCED
Total Ordered,17,,,,,,1GKKNKL40PZ181082,7FARS6H84SE075565
Total Produced:,8,,,,,,1HGCY1F42SA049723,7FARS4H40RE007260
Total New:,0,,,,,,2HGFE2F55TH508279,2HKRS4H73PH436459
Total Used:,8,,,,,,2HGFE2F57RH589570,3MYDLBYV2HY177706
,,,,,,,2HKRS4H73PH436459,2HGFE2F57RH589570
Used Duplicates:,0,,,,,,3CZRZ2H77TM713323,1GKKNKL40PZ181082
New Duplicates,0,,,,,,3MYDLBYV2HY177706,5FNYF8H6XRB001079
Duplicates:,0,,,,,,5FNRL6H60TB006784,7FARW2H51NE050338
,,,,,,,5FNYF8H6XRB001079,
,,,,,,,5FNYF9H84TB028230,
,,,,,,,7FARS4H40RE007260,
,,,,,,,7FARS6H82TE032683,
,,,,,,,7FARS6H84SE075565,
,,,,,,,7FARS6H84TE037271,
,,,,,,,7FARS6H88TE026578,
,,,,,,,7FARS6H92TE038489,
,,,,,,,7FARW2H51NE050338,
