Totals:,,,DUPLICATES,,,,ORDERED,PRODUCED
Total Ordered,46,,,,,,1C4HJXCG3LW286932,1C4PJXFG6RW252919
Total Produced:,46,,,,,,1C4PJMMB0PD113321,1C4PJMMB4PD114178
Total New:,25,,,,,,1C4PJMMB4PD114178,1C6HJTFGXPL552840
Total Used:,21,,,,,,1C4PJXFG6RW252919,1C4SJSBP2PS568678
,,,,,,,1C4PJXFG7RW259913,3C4NJDDN6PT542488
Used Duplicates:,0,,,,,,1C4RJHBG0SC344071,1C4PJXFG7RW259913
New Duplicates,0,,,,,,1C4RJHBG9SC344070,2C4RDGCG2JR170512
Duplicates:,0,,,,,,1C4RJHEG9S8730809,1C4PJMMB0PD113321
,,,,,,,1C4RJKAG3S8722806,5N1BT3BA9PC828026
,,,,,,,1C4RJKAG7S8723179,1V2SC2CA5NC202711
,,,,,,,1C4RJKAGXS8722205,NM0LS7S27N1532939
,,,,,,,1C4RJKBGXS8727872,2C3CDZJG3NH182012
,,,,,,,1C4SJSBP2PS568678,1G1ZD5ST7NF137479
,,,,,,,1C6HJTFGXPL552840,2C4RDGBG0HR615230
,,,,,,,1C6RR7FT8DS703306,3GKALYEG0RL248902
,,,,,,,1C6RRFGG0SN181715,1C6SRFLT7KN901399
,,,,,,,1C6RRFGG3SN193048,1C6SRFFTXMN648481
,,,,,,,1C6SRFFTXMN648481,1C6RR7FT8DS703306
,,,,,,,1C6SRFGP2TN157368,5N1AZ2BJ4PC126118
,,,,,,,1C6SRFLP0TN177253,1C4HJXCG3LW286932
,,,,,,,1C6SRFLT7KN901399,5N1BT3BA1PC835598
,,,,,,,1G1ZD5ST7NF137479,2C4RC1BG0TR154216
,,,,,,,1V2SC2CA5NC202711,3C6TR5EJ8TG157476
,,,,,,,2C3CDZJG3NH182012,3C63R5DL2SG582449
,,,,,,,2C4RC1BG0TR154216,1C4RJKAGXS8722205
,,,,,,,2C4RC1BG2TR154217,2C4RC1BG5TR152333
,,,,,,,2C4RC1BG5TR152333,3C6UR5DJ3TG152319
,,,,,,,2C4RC1BG9TR152335,3C6UR5DJ1TG152335
,,,,,,,2C4RC1GG0TR152345,2C4RC3GG9TR154414
,,,,,,,2C4RC1GG9TR152344,1C4RJKAG3S8722806
,,,,,,,2C4RC3GG9TR154414,1C6SRFGP2TN157368
,,,,,,,2C4RDGBG0HR615230,2C4RC1GG0TR152345
,,,,,,,2C4RDGCG2JR170512,2C4RC1BG9TR152335
,,,,,,,3C4NJDDN6PT542488,1C4RJHEG9S8730809
,,,,,,,3C63R5DL2SG582449,2C4RC1BG2TR154217
,,,,,,,3C6TR5EJ8TG157476,1C6SRFLP0TN177253
,,,,,,,3C6UR5DJ1TG152335,2C4RC1GG9TR152344
,,,,,,,3C6UR5DJ2TG157981,1C4RJHBG9SC344070
,,,,,,,3C6UR5DJ3TG152319,1C4RJKBGXS8727872
,,,,,,,3C6UR5DJ5TG152337,3C6UR5DJ2TG157981
,,,,,,,3C6UR5DJXTG152320,3C6UR5DJXTG152320
,,,,,,,3GKALYEG0RL248902,1C4RJHBG0SC344071
,,,,,,,5N1AZ2BJ4PC126118,1C4RJKAG7S8723179
,,,,,,,5N1BT3BA1PC835598,1C6RRFGG0SN181715
,,,,,,,5N1BT3BA9PC828026,3C6UR5DJ5TG152337
,,,,,,,NM0LS7S27N1532939,1C6RRFGG3SN193048
